prices,market_caps,total_volumes,id_coin,date
3457.883,60555372963.791016,4973814467.106895,bitcoin,2019-01-31
3431.944,60101226569.37371,4330022381.196439,bitcoin,2019-02-01
3464.49,60678990333.1717,3765731026.2153797,bitcoin,2019-02-02
3486.582,61071179758.435844,3310421843.82123,bitcoin,2019-02-03
3454.026,60524138032.473946,2375918195.082078,bitcoin,2019-02-04
3464.004,60723961265.783615,4454914648.715065,bitcoin,2019-02-05
3469.895,60825168548.915,3653777871.7193217,bitcoin,2019-02-06
3405.837,59682137962.35292,4211212356.0140643,bitcoin,2019-02-07
3394.015,59482397752.99235,3297274818.3709226,bitcoin,2019-02-08
3664.282,64226481382.1611,6293135761.36397,bitcoin,2019-02-09
3667.408,64286029202.05369,4883557856.511256,bitcoin,2019-02-10
3675.692,64439836442.25577,5081021129.885805,bitcoin,2019-02-11
3631.445,63670312531.29947,5446022475.782068,bitcoin,2019-02-12
3633.965,63712841387.27635,5532706261.952275,bitcoin,2019-02-13
3610.062,63267872020.65663,5635612273.288616,bitcoin,2019-02-14
3589.662,62991824523.89914,11971659893.345224,bitcoin,2019-02-15
3601.229,63165603231.85129,4506367416.966915,bitcoin,2019-02-16
3622.592,63547140519.07759,4019925054.643214,bitcoin,2019-02-17
3665.076,64383522064.40136,4945386865.287532,bitcoin,2019-02-18
3886.52,68147457622.522125,9588927258.746943,bitcoin,2019-02-19
3915.01,68719418872.04398,5969708630.056735,bitcoin,2019-02-20
3976.809,69790459105.50142,6377580055.125392,bitcoin,2019-02-21
3934.814,69059468752.51183,6838246918.228343,bitcoin,2019-02-22
3973.641,69748877117.19371,5999302845.797907,bitcoin,2019-02-23
4115.338,72266544791.73584,8493566414.707253,bitcoin,2019-02-24
3742.869,66108588220.39571,11112465191.137722,bitcoin,2019-02-25
3824.684,67154603799.94677,9049456993.516651,bitcoin,2019-02-26
3809.21,66890485485.37128,2992667601.164757,bitcoin,2019-02-27
3813.378,67155912259.18905,7731184275.9768505,bitcoin,2019-02-28
3815.608,67016664287.2375,7627783000.608827,bitcoin,2019-03-01
3815.754,67085713233.78275,5524886886.074838,bitcoin,2019-03-02
3819.646,67101767698.901596,3291046239.4080496,bitcoin,2019-03-03
3806.954,66885712070.35212,6749676086.649796,bitcoin,2019-03-04
3712.812,65238057881.55198,3608196680.9514556,bitcoin,2019-03-05
3852.462,67733767403.2078,9088065055.193892,bitcoin,2019-03-06
3860.511,67888909504.19791,8477459044.147217,bitcoin,2019-03-07
3871.637,68020879276.31612,6098011809.539175,bitcoin,2019-03-08
3861.879,67914021946.078575,9387592412.254822,bitcoin,2019-03-09
3941.601,69292799411.19722,8968209821.64562,bitcoin,2019-03-10
3923.56,68962957216.01791,8576340543.966685,bitcoin,2019-03-11
3860.359,67983966610.10971,6459945402.485972,bitcoin,2019-03-12
3876.481,68203157396.32404,8326845840.668451,bitcoin,2019-03-13
3865.818,67968370343.91208,7240802846.749305,bitcoin,2019-03-14
3876.699,68177693410.06057,8610482287.345255,bitcoin,2019-03-15
3925.461,69031558676.15643,8157372614.811613,bitcoin,2019-03-16
4007.709,70497099778.1464,8463266884.802993,bitcoin,2019-03-17
3980.99,70051219293.32379,6533306536.989777,bitcoin,2019-03-18
3986.707,70152235369.2381,7639543944.601985,bitcoin,2019-03-19
4013.577,70618508801.77231,7503839510.974511,bitcoin,2019-03-20
4045.573,71208656536.95811,9137227916.145353,bitcoin,2019-03-21
3983.318,70175421257.0859,9845582434.366617,bitcoin,2019-03-22
3989.158,70227188528.50433,9404569962.845264,bitcoin,2019-03-23
4008.945,70485598083.6817,9206940724.647112,bitcoin,2019-03-24
3993.395,70330401859.60312,9883972400.782845,bitcoin,2019-03-25
3927.577,69206266248.88437,10661215003.017866,bitcoin,2019-03-26
3938.66,69368692535.334,19375985748.468594,bitcoin,2019-03-27
4036.161,71134892682.49236,16215886403.31156,bitcoin,2019-03-28
4028.391,70961529493.34933,15160882530.764353,bitcoin,2019-03-29
4103.323,72303023146.20026,16340416942.468424,bitcoin,2019-03-30
4103.856,72305792937.3489,13007834059.593706,bitcoin,2019-03-31
4103.522,72310769858.13646,9729996888.256725,bitcoin,2019-04-01
4146.322,73066822741.99345,12393581266.933498,bitcoin,2019-04-02
4862.23,86200568432.5752,24241877355.466156,bitcoin,2019-04-03
4955.832,87673795383.52638,27840300618.851505,bitcoin,2019-04-04
4899.022,86482892583.41296,23773239680.778233,bitcoin,2019-04-05
